student_ID,course_ID,subject,semester,section,int,uv,percomp,tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,date.x,post_int,post_uv,post_tv,post_percomp,date.y,date
43146,FrScA-S216-02,FrScA,S216,02,4.2,3.6666666666666665,4,3.857142857142857,4,4,4,5,4,4,4,4,3,4,2016-02-02T18:44:00Z,NA,NA,NA,NA,NA,NA
44638,OcnA-S116-01,OcnA,S116,01,4,3,3,3.5714285714285716,4,2,2,4,4,4,4,4,3,4,2015-09-09T13:41:00Z,NA,NA,NA,NA,NA,NA
47448,FrScA-S216-01,FrScA,S216,01,4.2,3,3,3.7142857142857144,5,3,3,4,4,3,3,4,3,4,2016-01-28T14:01:00Z,NA,NA,NA,NA,NA,NA
47979,OcnA-S216-01,OcnA,S216,01,4,3.6666666666666665,2.5,3.857142857142857,4,3,2,4,4,4,3,4,4,4,2016-01-27T13:04:00Z,NA,NA,NA,NA,NA,NA
48797,PhysA-S116-01,PhysA,S116,01,3.8,3.6666666666666665,3.5,3.7142857142857144,4,4,3,4,4,4,4,4,3,3,2015-09-14T16:01:00Z,NA,NA,NA,NA,NA,NA
51943,FrScA-S216-03,FrScA,S216,03,3.8,3.6666666666666665,3.5,3.7142857142857144,4,4,3,4,3,3,4,4,4,4,2016-02-17T19:30:00Z,NA,NA,NA,NA,NA,NA
52326,AnPhA-S216-01,AnPhA,S216,01,3.6,4,3,4,4,4,4,2,4,4,2,4,4,4,2016-02-09T16:43:00Z,NA,NA,NA,NA,NA,NA
52446,PhysA-S116-01,PhysA,S116,01,4.2,3.6666666666666665,3,4,4,4,3,4,4,4,3,5,3,4,2015-09-19T21:36:00Z,3.5,3.6666666666666665,3.5714285714285716,3.5,2016-01-02T00:41:00Z,NA
53447,FrScA-S116-01,FrScA,S116,01,3.8,2,3,3,5,2,3,4,4,2,3,4,2,2,2015-09-22T18:06:00Z,3.75,2,3,3,2015-10-13T14:11:00Z,NA
53475,FrScA-S216-01,FrScA,S216,01,4.8,3.3333333333333335,4,4.142857142857143,5,4,4,5,5,3,4,5,3,4,2016-02-02T15:14:00Z,NA,NA,NA,NA,NA,NA
54066,OcnA-S116-01,OcnA,S116,01,4.6,4.666666666666667,4,4.714285714285714,4,5,4,4,5,5,4,5,4,5,2015-09-09T14:10:00Z,5,4.666666666666667,4.857142857142857,4,2015-09-14T14:18:00Z,NA
54282,OcnA-S116-02,OcnA,S116,02,3.4,2,3.5,2.7142857142857144,3,1,3,4,4,3,4,3,2,3,2015-09-10T11:54:00Z,NA,NA,NA,NA,NA,NA
54342,OcnA-S116-02,OcnA,S116,02,4,3,3.5,3.5714285714285716,4,3,3,4,4,3,4,4,3,4,2015-09-09T13:16:00Z,NA,NA,NA,NA,NA,NA
54346,OcnA-S116-01,OcnA,S116,01,4.4,2,3,3.2857142857142856,4,2,2,5,5,3,4,5,1,3,2015-09-09T14:41:00Z,4,2.6666666666666665,3.4285714285714284,3.5,2016-01-06T00:01:00Z,NA
54434,PhysA-S116-01,PhysA,S116,01,5,5,4,5,5,5,4,5,5,5,4,5,5,5,2015-09-11T12:28:00Z,3.75,4,3.857142857142857,4,2016-01-03T23:02:00Z,NA
54567,OcnA-S216-02,OcnA,S216,02,4,3.6666666666666665,3.5,3.857142857142857,4,4,3,4,4,4,4,4,3,4,2016-01-25T16:15:00Z,NA,NA,NA,NA,NA,NA
55078,FrScA-S216-01,FrScA,S216,01,4.4,3.6666666666666665,3,4.142857142857143,4,4,3,4,4,4,3,5,3,5,2016-01-27T18:24:00Z,NA,NA,NA,NA,NA,NA
55140,PhysA-S116-01,PhysA,S116,01,5,4,4.5,4.571428571428571,5,4,4,5,5,4,5,5,4,5,2015-10-05T15:13:00Z,4.75,3.6666666666666665,4.285714285714286,3.5,2015-09-14T14:45:00Z,NA
55283,FrScA-S116-01,FrScA,S116,01,5,3.6666666666666665,4,4.428571428571429,5,3,4,5,5,5,4,5,3,5,2015-09-22T17:49:00Z,NA,NA,NA,NA,NA,NA
56152,AnPhA-S116-02,AnPhA,S116,02,4.8,4.333333333333333,4,4.714285714285714,5,5,3,4,5,5,5,5,3,5,2015-10-08T19:42:00Z,NA,NA,NA,NA,NA,NA
57188,AnPhA-S116-02,AnPhA,S116,02,4,5,3.5,4.285714285714286,4,5,3,5,4,5,4,4,5,3,2015-09-09T16:25:00Z,NA,NA,NA,NA,NA,NA
57224,FrScA-S116-03,FrScA,S116,03,4.4,3,3.5,3.857142857142857,4,3,3,4,4,4,4,5,2,5,2015-09-09T17:34:00Z,2.25,1.6666666666666667,2,4,2016-01-14T21:55:00Z,NA
57489,PhysA-S116-01,PhysA,S116,01,4.6,3.6666666666666665,4.5,4.142857142857143,5,4,5,5,4,4,4,4,3,5,2015-09-28T14:22:00Z,4.25,4,4.142857142857143,4.5,2016-01-12T15:11:00Z,NA
57981,OcnA-S116-01,OcnA,S116,01,4.2,3.3333333333333335,2.5,3.857142857142857,4,2,2,4,4,4,3,4,4,5,2015-09-10T17:26:00Z,4,4.333333333333333,4.142857142857143,4,2015-11-17T15:38:00Z,NA
58168,AnPhA-S216-01,AnPhA,S216,01,4.2,4.666666666666667,3.5,4.285714285714286,4,5,3,5,4,5,4,4,4,4,2016-01-26T02:44:00Z,NA,NA,NA,NA,NA,NA
58178,OcnA-S116-01,OcnA,S116,01,4,4,4.5,4,4,4,4,4,5,5,5,4,3,3,2015-09-09T16:49:00Z,3.75,4,3.857142857142857,4,2015-09-18T16:26:00Z,NA
