course_id,student_id,gradebook_item,item_position,gradebook_type,gradebook_date,grade_category,status,points_earned,points_attempted,points_possible,last_access_date
FrScA-S216-02,43146,0-1.1: Intro Assignment - Send a Message to Your Instructor,10,N,31:28.9,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,0-1.2: Intro Assignment - DB #1,11,N,47:10.5,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,0-1.3: Intro Assignment - Submitting Files,12,N,01:26.5,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,1-1.1: Lesson 1-1 Graphic Organizer,13,N,33:11.5,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,1-2.1: Explore a Career Assignment,14,N,25:33.2,Hw,NA,12,0,12,00:56:00
FrScA-S216-02,43146,1-2.2: Explore a Career DB #2,15,N,41:04.3,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,PROGRESS CHECK 1 @ 02-18-16,16,P,NULL,NA,NA,37,37,37,00:56:00
FrScA-S216-02,43146,1-2.3: Lesson 1-2 Graphic Organizer,17,N,24:04.2,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,Unit 1 Assessment,18,N,16:21.7,Qz,NA,18,0,20,00:56:00
FrScA-S216-02,43146,2-1.1: Crime Scene DB #3,19,N,25:52.3,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,2-2.1: Evidence Collection DB #4,20,N,49:20.9,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,2-3.1: Hair Analysis Lab,21,N,14:15.9,Hw,NA,10,0,10,00:56:00
FrScA-S216-02,43146,Unit 2 Assessment,22,N,43:55.0,Qz,NA,26,0,28,00:56:00
FrScA-S216-02,43146,3-1.1: BrainPop Periodic Table of the Elements,23,N,21:10.5,NA,NA,5,0,5,00:56:00
FrScA-S216-02,43146,3-1.2: Periodic Table of the Elements Lab,24,N,37:36.3,Hw,NA,10,0,10,00:56:00
FrScA-S216-02,43146,3-2.1: pH Analysis Lab,25,N,39:49.3,Hw,NA,10,0,10,00:56:00
FrScA-S216-02,43146,3-3.1: Drug Analysis and Toxicology DB #5,26,N,17:13.1,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,PROGRESS CHECK 2 @ 03-16-16,27,P,NULL,NA,NA,136,140,140,00:56:00
FrScA-S216-02,43146,3-4.1: A Very Cold Case DB #6,28,N,48:37.6,Hw,NA,5,0,5,00:56:00
FrScA-S216-02,43146,3-4.2: Mystery Powder Lab,29,N,48:20.2,Hw,NA,10,0,10,00:56:00
OcnA-S116-01,44638,0.1 Message Your Instructor,9,N,25:36.5,Hw,NA,5,0,5,57:21:00
OcnA-S116-01,44638,0.2 Introduce Yourself,10,N,16:37.4,Hw,NA,5,0,5,57:21:00
OcnA-S116-01,44638,0.3: Intro Assignment - Submitting Files,11,N,32:36.0,Hw,NA,5,0,5,57:21:00
OcnA-S116-01,44638,1.1 Quiz,12,N,13:52.3,Qz,NA,5,0,5,57:21:00
OcnA-S116-01,44638,1.2 Effect of Environment Gizmo,13,N,04:37.1,Hw,NA,10,0,10,57:21:00
OcnA-S116-01,44638,1.2 - 1.3 Quiz,14,N,45:06.5,Qz,NA,5,0,5,57:21:00
OcnA-S116-01,44638,Unit 1 Project,15,N,27:40.7,Hw,NA,30,0,30,57:21:00
OcnA-S116-01,44638,Unit 1 Test,16,N,08:50.5,Qz,NA,15,0,15,57:21:00
OcnA-S116-01,44638,PROGRESS CHECK 1 @ 10-02-15,17,P,NULL,NA,NA,80,80,80,57:21:00
OcnA-S116-01,44638,2.1 Significant Events,18,N,23:46.2,Hw,NA,10,0,10,57:21:00
OcnA-S116-01,44638,2.2 Ocean Mapping Gizmo,19,N,48:05.2,Hw,NA,8,0,10,57:21:00
OcnA-S116-01,44638,2.1 - 2.3 Quiz,20,N,57:32.1,Qz,NA,5,0,5,57:21:00
OcnA-S116-01,44638,2.4 - 2.5 Quiz,21,N,54:37.2,Qz,NA,5,0,5,57:21:00
OcnA-S116-01,44638,Unit 2 Project,22,N,16:06.5,Hw,NA,18.38,0,30,57:21:00
OcnA-S116-01,44638,Unit 2 Test,23,N,35:30.7,Qz,NA,14,0,15,57:21:00
OcnA-S116-01,44638,3.1 Big Bang Theory Discussion,24,N,NULL,Hw,NA,NA,0,10,57:21:00
OcnA-S116-01,44638,3.1 - 3.2 Quiz,25,N,18:32.5,Qz,NA,4,0,5,57:21:00
OcnA-S116-01,44638,3.3 Quiz,26,N,51:07.4,Qz,NA,4,0,5,57:21:00
