grad_rate,name,carnegie_class,total_enroll,pct_admitted,n_bach,n_mast,n_doc,tuition_fees,percent_fin_aid,avg_salary,n_grad,good_grad_rate
27,Alabama A & M University,Master's Colleges & Universities: Larger Programs,6007,68,511,249,9,10024,87,77824,258,0
64,University of Alabama at Birmingham,Doctoral Universities: Very High Research Activity,21639,87,2785,2512,166,8568,96,106434,2678,0
50,Amridge University,Master's Colleges & Universities: Small Programs,647,NA,54,96,20,NA,NA,36637,116,0
63,University of Alabama in Huntsville,Doctoral Universities: Very High Research Activity,9237,78,1624,570,41,11488,96,92561,611,0
28,Alabama State University,Doctoral/Professional Universities,3828,97,480,119,2,11068,97,72635,121,0
73,The University of Alabama,Doctoral Universities: Very High Research Activity,38644,80,6740,2180,215,11620,87,97394,2395,1
22,Central Alabama Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1777,NA,NA,NA,NA,4930,87,63494,NA,0
NA,Athens State University,Baccalaureate Colleges: Diverse Fields,2894,NA,738,80,0,NA,NA,81402,80,NA
36,Auburn University at Montgomery,Master's Colleges & Universities: Larger Programs,5109,92,672,300,0,8860,99,75664,300,0
81,Auburn University,Doctoral Universities: Very High Research Activity,31764,44,5653,1415,284,11826,79,104085,1699,1
65,Birmingham-Southern College,Baccalaureate Colleges: Arts & Sciences Focus,975,57,263,0,0,20100,100,63170,0,0
26,Chattahoochee Valley Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,1641,NA,NA,NA,NA,4920,96,61090,NA,0
9,South University-Montgomery,Baccalaureate Colleges: Diverse Fields,361,NA,31,17,0,17014,92,49688,17,0
29,Enterprise State Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,2010,NA,NA,NA,NA,4860,87,83100,NA,0
22,Coastal Alabama Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,6800,NA,NA,NA,NA,4860,94,68532,NA,0
33,Faulkner University,Master's Colleges & Universities: Larger Programs,2817,82,448,347,0,23490,99,58093,347,0
25,Gadsden State Community College,Associate's Colleges: High Career & Technical-High Traditional,4352,NA,NA,NA,NA,3936,91,64165,NA,0
29,George C Wallace Community College-Dothan,Associate's Colleges: High Career & Technical-High Traditional,3832,NA,NA,NA,NA,4800,85,62688,NA,0
45,George C Wallace State Community College-Hanceville,Associate's Colleges: High Career & Technical-High Traditional,5965,NA,NA,NA,NA,4860,80,63207,NA,0
37,George C Wallace State Community College-Selma,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1860,NA,NA,NA,NA,4560,100,57789,NA,0
30,Herzing University-Birmingham,Special Focus Four-Year: Other Health Professions Schools,578,94,16,2,0,14200,100,59623,2,0
50,Huntingdon College,Baccalaureate Colleges: Diverse Fields,817,66,204,0,0,27900,100,67281,0,0
0,Heritage Christian University,Special Focus Four-Year: Faith-Related Institutions,143,100,17,6,0,11632,100,46812,6,0
12,J. F. Drake State Community and Technical College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,976,NA,NA,NA,NA,4830,89,57652,NA,0
52,Jacksonville State University,Master's Colleges & Universities: Larger Programs,9632,78,1415,492,7,11120,100,67734,499,0
22,Jefferson State Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,8431,NA,NA,NA,NA,4920,100,67264,NA,0
36,John C Calhoun State Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,8163,NA,NA,NA,NA,4940,76,65293,NA,0
23,Lawson State Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,2919,NA,NA,NA,NA,4860,100,65170,NA,0
38,University of West Alabama,Master's Colleges & Universities: Larger Programs,5860,69,397,1214,14,10990,99,62937,1228,0
34,Lurleen B Wallace Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1929,NA,NA,NA,NA,4620,93,62834,NA,0
27,Marion Military Institute,Associate's Colleges: High Transfer-High Traditional,320,63,NA,NA,NA,9218,95,63047,NA,0
26,Miles College,Baccalaureate Colleges: Diverse Fields,1258,NA,186,0,0,12464,95,46532,0,0
46,University of Mobile,Master's Colleges & Universities: Small Programs,1804,84,210,96,5,24855,100,50194,101,0
55,University of Montevallo,Master's Colleges & Universities: Medium Programs,2586,60,414,126,0,13710,99,76970,126,0
27,Northwest-Shoals Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,4032,NA,NA,NA,NA,4831,99,61526,NA,0
52,University of North Alabama,Master's Colleges & Universities: Larger Programs,9830,96,1116,796,0,10620,98,78383,796,0
45,Northeast Alabama Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,2590,NA,NA,NA,NA,4860,100,61952,NA,0
47,Oakwood University,Baccalaureate Colleges: Arts & Sciences Focus,1470,68,226,21,0,19990,93,43582,21,0
44,Reid State Technical College,Associate's Colleges: High Career & Technical-High Traditional,434,NA,NA,NA,NA,7335,95,64540,NA,0
22,Bishop State Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,2968,NA,NA,NA,NA,4860,91,64856,NA,0
78,Samford University,Doctoral/Professional Universities,5682,83,838,342,25,35360,100,82724,367,1
23,Shelton State Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,4166,NA,NA,NA,NA,4587,72,62423,NA,0
40,Snead State Community College,Associate's Colleges: High Transfer-High Nontraditional,2507,NA,NA,NA,NA,5344,93,69501,NA,0
48,University of South Alabama,Doctoral Universities: High Research Activity,13438,65,1868,1197,44,8756,96,70535,1241,0
62,Spring Hill College,Baccalaureate Colleges: Diverse Fields,1046,73,209,54,0,21100,100,61385,54,0
25,Stillman College,Baccalaureate Colleges: Diverse Fields,744,65,100,0,0,11392,90,46264,0,0
35,Talladega College,Baccalaureate Colleges: Diverse Fields,903,NA,153,8,0,13866,98,57341,8,0
20,H Councill Trenholm State Community College,Associate's Colleges: High Career & Technical-High Traditional,1984,NA,NA,NA,NA,4770,86,63060,NA,0
46,Troy University,Master's Colleges & Universities: Larger Programs,14156,95,2273,1204,3,9312,96,64520,1207,0
67,Tuskegee University,Master's Colleges & Universities: Medium Programs,2570,30,402,67,7,22614,100,67330,74,1
NA,United States Sports Academy,Special Focus Four-Year: Other Special Focus Institutions,240,100,11,25,0,16418,NA,64120,25,NA
36,Bevill State Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,3703,NA,NA,NA,NA,5214,100,67241,NA,0
30,University of Alaska Anchorage,Master's Colleges & Universities: Larger Programs,10464,65,893,172,3,8622,92,85621,175,0
50,Alaska Bible College,Special Focus Four-Year: Faith-Related Institutions,39,NA,4,0,0,10900,100,NA,0,0
39,University of Alaska Fairbanks,Doctoral Universities: High Research Activity,6607,NA,493,182,32,7248,100,86853,214,0
25,University of Alaska Southeast,Master's Colleges & Universities: Medium Programs,1923,63,104,76,0,6960,91,74947,76,0
36,Alaska Pacific University,Baccalaureate Colleges: Diverse Fields,595,99,63,41,0,20760,100,61548,41,0
55,Charter College,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,2117,NA,42,0,0,17289,93,46051,0,0
70,Alaska Career College,Special Focus Two-Year: Other Fields,268,NA,NA,NA,NA,NA,67,46800,NA,1
53,Carrington College-Phoenix North,Special Focus Two-Year: Health Professions,1048,NA,NA,NA,NA,NA,92,51301,NA,0
45,Carrington College-Mesa,Special Focus Two-Year: Health Professions,532,NA,NA,NA,NA,NA,87,59647,NA,0
53,Carrington College-Tucson,Special Focus Two-Year: Health Professions,446,NA,NA,NA,NA,NA,90,54938,NA,0
57,Brookline College-Phoenix,Special Focus Four-Year: Other Health Professions Schools,888,NA,248,16,0,NA,68,61360,16,0
67,Arizona State University Campus Immersion,Doctoral Universities: Very High Research Activity,80065,90,14960,3727,591,11348,93,107320,4318,1
21,Arizona Western College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,8050,NA,NA,NA,NA,2900,99,68418,NA,0
68,University of Arizona,Doctoral Universities: Very High Research Activity,49403,87,7410,2358,410,12736,98,102736,2768,1
18,Central Arizona College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,4652,NA,NA,NA,NA,2580,75,61967,NA,0
25,Cochise County Community College District,Associate's Colleges: High Career & Technical-High Nontraditional,3797,NA,NA,NA,NA,2184,100,62549,NA,0
49,Eastern Arizona College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,4864,NA,NA,NA,NA,2160,78,74924,NA,0
71,Embry-Riddle Aeronautical University-Prescott,Baccalaureate Colleges: Diverse Fields,3162,68,541,13,0,38966,97,83289,13,1
NA,The School of Architecture,Special Focus Four-Year: Other Special Focus Institutions,6,NA,0,3,0,NA,NA,37500,3,NA
12,Glendale Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,13342,NA,NA,NA,NA,2070,100,90025,NA,0
45,Grand Canyon University,Doctoral/Professional Universities,101816,78,14037,13998,781,17800,99,64822,14779,0
19,GateWay Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,4699,NA,NA,NA,NA,2070,99,83077,NA,0
13,Mesa Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,15772,NA,NA,NA,NA,2070,100,89983,NA,0
26,Mohave Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,4038,NA,NA,NA,NA,2136,72,63930,NA,0
18,Dine College,Tribal Colleges,1552,NA,58,0,0,1410,91,57148,0,0
59,Northern Arizona University,Doctoral Universities: High Research Activity,28086,80,5874,1370,83,11896,100,82674,1453,0
8,Northland Pioneer College,Associate's Colleges: High Career & Technical-High Nontraditional,2740,NA,NA,NA,NA,2428,76,61869,NA,0
12,Phoenix College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,9649,NA,NA,NA,NA,2070,99,86605,NA,0
18,Pima Community College,Associate's Colleges: High Transfer-High Nontraditional,15293,NA,NA,NA,NA,2250,68,71980,NA,0
69,Pima Medical Institute-Tucson,Special Focus Four-Year: Other Health Professions Schools,2589,NA,274,0,0,NA,92,60810,0,1
46,Pima Medical Institute-Albuquerque,Special Focus Two-Year: Health Professions,690,NA,NA,NA,NA,NA,92,58682,NA,0
55,Prescott College,Master's Colleges & Universities: Medium Programs,969,98,120,201,12,34701,100,37700,213,0
61,Refrigeration School Inc,Special Focus Two-Year: Technical Professions,1006,NA,NA,NA,NA,NA,92,42003,NA,0
10,Rio Salado College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,17078,NA,NA,NA,NA,2070,96,67611,NA,0
22,Scottsdale Community College,Associate's Colleges: High Transfer-High Nontraditional,7065,NA,NA,NA,NA,2070,97,91520,NA,0
17,South Mountain Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,3706,NA,NA,NA,NA,2070,99,89295,NA,0
45,Arizona Christian University,Baccalaureate Colleges: Diverse Fields,1082,70,141,0,0,30624,100,48067,0,0
50,Universal Technical Institute of Arizona Inc,Special Focus Two-Year: Technical Professions,1972,NA,NA,NA,NA,NA,93,51524,NA,0
39,Yavapai College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,6997,NA,NA,NA,NA,2600,82,71748,NA,0
42,University of Arkansas at Little Rock,Doctoral Universities: High Research Activity,8197,61,1253,369,52,8366,99,70641,421,0
