mean_favorite_count,mean_retweet_count,sum_display_text_width,n,code
1,0,214,2,TS
0,0,76,2,TS
0.125,0,1689,16,SB
0.5,0,217,2,TS
0.5,0,143,2,TS
0.6666666666666666,0.3333333333333333,376,3,TS
2,0,115,2,TS
1.5,0,298,4,TS
3,0,233,2,TS
0.5,0,98,2,TS
0.3333333333333333,0,198,3,TS
1.5,0,123,2,TS
0,0,197,3,TS
0.07142857142857142,0,1449,14,SB
1,0.3333333333333333,291,3,TS
0.5,0,117,2,TS
0.3333333333333333,0,234,3,TS
0.75,0,265,4,TS
1.5,0,198,2,TS
0,0,94,2,TS
0.5,0,379,4,TS
2,0,175,2,TS
2.3333333333333335,0,338,3,TS
0.5,0,136,2,TS
0.14285714285714285,0,1525,14,SB
0,0,69,1,TS
2,0,193,2,TS
0,0,189,2,TS
0.5,0.75,390,4,SB
0.6666666666666666,0.6666666666666666,366,3,SB
0.6666666666666666,0.6666666666666666,368,3,SB
1,0.3333333333333333,696,6,SB
0.3333333333333333,0,263,3,SB
2,0,351,3,SB
1,0,262,2,SB
0.23076923076923078,0,1399,13,SB
0.5,0.5,201,2,SB
1,1,251,2,SB
1.5,0,204,2,SB
0.25,0,427,4,SB
0.5,0,413,4,SB
0.75,0.75,461,4,SB
0.5,0.25,422,4,SB
1.4285714285714286,0.7142857142857143,788,7,SB
1,0.6666666666666666,704,6,SB
1,0.8,563,5,SB
0.1,0,1023,10,SB
1.6,1,515,5,SB
2.5,1.5,491,4,SB
1.75,1,365,4,SB
2.5,1,388,4,SB
1.75,1,390,4,SB
1.25,1.25,346,4,SB
1.5,0,219,2,SB
1,0,181,2,SB
4,0.5,177,2,SB
0.5,0,234,2,SB
0.125,0,820,8,SB
0,0,233,2,SB
0,1.5,271,2,SB
0.5,0,103,2,TS
3.5,0,223,2,SB
2.5,1,272,2,SB
1.4,0.4,546,5,SB
1,0.4,623,5,SB
1,0.4,371,5,SB
2,0.6666666666666666,248,3,SB
0.6666666666666666,0.3333333333333333,348,3,SB
0,0,125,2,TS
1.5,0,102,2,TS
0,0,44,1,SB
0.5,1,279,2,SB
1.5,0,498,4,SB
1,0.3333333333333333,409,3,SB
1,0.5,281,2,SB
0.2,0.2,1011,10,SB
0.08333333333333333,0.08333333333333333,1225,12,SB
0.07692307692307693,0.07692307692307693,1368,13,SB
0.08333333333333333,0.08333333333333333,1264,12,SB
0.5,0.5,208,2,TS
0,0.1111111111111111,877,9,SB
0,0,847,9,SB
0,0,877,9,SB
0,0,743,8,SB
3,0,218,2,SB
1,0,270,2,SB
0,0,228,2,TS
0.75,0,306,4,SB
0.3333333333333333,0.3333333333333333,299,3,SB
1.5,0,238,2,SB
0.5,0.5,140,2,TS
1,0.5,235,2,SB
0.6,0,661,5,SB
0.4,0,677,5,SB
1.25,0.5,465,4,SB
0.5,0,200,2,SB
1,0.6666666666666666,329,3,SB
0,0,136,2,SB
0,0.5,183,2,SB
2,1.5,230,2,SB
1.5,0,147,2,SB
1,0,222,2,TS
0,0.5,270,2,SB
0.2,0,527,5,SB
2,0.5,279,2,SB
2,0.5,256,2,SB
0.3333333333333333,0,273,3,SB
1.75,0,497,4,SB
0.5,0,192,2,SB
2,0,337,3,SB
0,0,230,2,SB
2,0,343,3,SB
0,0,83,2,TS
0.5,0,956,8,SB
2,0,257,3,SB
0,0,212,3,SB
1.5,0.5,251,2,SB
1.5,0.5,251,2,SB
1.5,0.5,262,2,SB
0,0.5,273,2,SB
1.5,0.5,202,2,SB
3.5,1,263,2,SB
0,0.3333333333333333,294,3,SB
1,0,476,4,SB
0.5,0,149,2,TS
0,0,223,2,SB
0,0,135,2,SB
1.5,0.5,154,2,TS
1,0,115,2,TS
0.25,0,287,4,TS
3,2.5,225,2,TS
1,0,107,2,TS
2.6666666666666665,0.3333333333333333,177,3,TS
0,0.2,362,5,TS
0.75,0,453,4,SB
0,0,158,2,TS
0.3333333333333333,0,113,3,TS
0.5,0,95,2,TS
0,0,122,2,TS
1,0,123,2,TS
0.6666666666666666,0,271,3,TS
1.3333333333333333,0.16666666666666666,557,6,TS
1.5,0,365,4,TS
1.75,0,323,4,TS
1,0,163,2,TS
2,0.8,604,5,SB
0.625,0.125,606,8,TS
0,0.25,190,4,TS
1.3333333333333333,0,198,3,TS
1.5,0,198,2,SB
0.5,0,153,2,TS
0.3333333333333333,0.6666666666666666,341,3,TS
0.3333333333333333,0.3333333333333333,301,3,TS
0.5,0.5,144,2,TS
0.3333333333333333,0.3333333333333333,297,3,TS
1,1,307,3,SB
0.5,0,106,2,TS
2,0,96,2,TS
1.3333333333333333,0,170,3,TS
2,0,141,2,TS
2,0,64,2,TS
0,0,54,1,TS
0.5,0.25,162,4,TS
2,0,88,2,TS
2,0,88,2,TS
0,0.3333333333333333,269,3,SB
0,0.3333333333333333,310,3,SB
1,0,234,2,SB
0.5,0,133,2,TS
0,0,56,2,TS
0.5,0,210,2,TS
1,1,57,1,TS
1.5,0.5,145,2,SB
0,0,81,1,SB
0,0,81,1,SB
0,0,81,1,SB
1.25,0,378,4,TS
0,0.5,130,2,SB
1,0,315,4,TS
0,0,403,4,TS
3,0.5,153,2,TS
2.5,1,192,2,TS
1,0,145,2,TS
2,0,188,2,TS
0.5,0,199,2,TS
7.5,1.75,302,4,TS
0,0,177,2,TS
0.3333333333333333,0,357,3,SB
0,0,241,2,TS
0.4,0,476,5,SB
0.4,0,437,5,SB
3,1.5,149,2,TS
0,0,132,1,TS
0,1.5,256,2,SB
1,0,413,4,TS
1,0,545,5,TS
1.25,0,416,4,TS
1,0,256,2,TS
0,0,239,2,TS
1,0,162,2,TS
1,0.3333333333333333,304,3,SB
0,0,109,1,TS
0,0,64,1,TS
0,0,110,1,TS
1.75,1.5,401,4,SB
2,1.25,431,4,SB
1.8,0.8,585,5,SB
2.2,0.8,574,5,SB
1.25,0.75,434,4,SB
0.5,0.5,197,2,TS
0.5,0.5,195,2,TS
0,0,196,2,TS
1,0,219,2,SB
0.5,0,161,2,SB
0,0,218,2,TS
1.5,0.5,124,2,TS
2.5,1,187,2,TS
2,0.5,163,2,TS
1.5,0,197,2,SB
2,1,206,2,SB
0,0,91,2,TS
0.3333333333333333,0.16666666666666666,619,6,SB
3,0.3333333333333333,325,3,SB
0,0.5,226,2,TS
0,0,159,2,SB
0,0.3333333333333333,340,3,TS
0.3333333333333333,0.6666666666666666,365,3,SB
5.5,4,158,2,TS
0,0.5,276,2,SB
1,0.5,192,2,SB
2.5,4.5,274,2,SB
1,0,210,2,SB
0.5,0,369,4,SB
3.5,0.5,196,2,SB
2,1.5,188,2,TS
1,0,168,2,SB
2.5,0.5,266,2,SB
3,1.5,214,2,SB
0.5,0.3333333333333333,599,6,SB
1.4,1,494,5,SB
0.75,1.25,368,4,SB
0.6666666666666666,0,618,6,SB
0.5,0,462,4,SB
1.5,1.5,326,4,TS
0.5,0,463,4,SB
1,0,240,2,SB
0.5,0,192,2,SB
3.6666666666666665,0.6666666666666666,399,3,SB
3.5,0.5,215,2,TS
3,0.6666666666666666,382,3,TS
2,0.5,178,2,SB
1.5,0.5,251,2,TS
0.5,0,218,2,SB
1.3333333333333333,0,648,6,SB
2,1.5,416,4,TS
0.3333333333333333,0,201,3,SB
0.6666666666666666,0,248,3,SB
2,0,125,1,TS
1,1,220,2,SB
0.5,2,188,2,SB
0,0,189,2,TS
2,2.5,220,2,TS
0.5,1,154,2,TS
1.75,0.5,458,4,SB
0.7142857142857143,0.42857142857142855,809,7,SB
1.5,1,246,2,TS
0.7142857142857143,0.2857142857142857,796,7,SB
0.6666666666666666,0.3333333333333333,668,6,SB
0.5,0.16666666666666666,730,6,SB
0.8,0.2,599,5,SB
1.3333333333333333,0.3333333333333333,346,3,SB
1,0,197,2,SB
1,0.5,219,2,SB
1,0,82,1,SB
0,0,185,2,SB
2,0,269,2,SB
2,0,278,2,TS
2.25,1.25,380,4,TS
4,2,137,1,TS
1,0,600,5,SB
1.2,0,536,5,SB
2,0.5,181,2,SB
1.2857142857142858,0,826,7,SB
2.6666666666666665,0.3333333333333333,342,3,SB
2,0.3333333333333333,271,3,SB
2,0.3333333333333333,306,3,SB
0.5,0,171,2,TS
1,0,111,2,TS
0,0,171,2,TS
1,0.5,221,2,SB
1,0,103,1,TS
0,1,272,2,SB
2.5,1,236,2,SB
3,0.5,233,2,SB
1,0.3333333333333333,348,3,SB
0.5,0,397,4,SB
0.5,0,244,2,SB
0,0,139,2,TS
1,0,103,1,TS
1.5,0.5,208,2,SB
0.5,0,225,2,SB
1,0,517,4,SB
1.3333333333333333,0.3333333333333333,395,3,SB
0.3333333333333333,0.6666666666666666,400,3,SB
1,0.6666666666666666,340,3,SB
0,0.5,278,2,SB
0.6666666666666666,0,221,3,SB
1.5,1,227,2,SB
1,1.5,278,2,TS
4,0,240,2,SB
3.1666666666666665,0.3333333333333333,715,6,SB
3.3333333333333335,0.3333333333333333,731,6,SB
3,0.16666666666666666,705,6,SB
3.6,0,563,5,SB
3.5,0,205,2,TS
3.4,0,485,5,SB
4.25,0.25,480,4,SB
4.333333333333333,0,332,3,SB
0.5,0,81,2,TS
1.3333333333333333,1,297,3,TS
2,0,360,3,SB
4.5,1.5,414,4,SB
2.5,1.3333333333333333,694,6,SB
1,0,170,2,SB
2,0,222,2,TS
2.6,1.4,581,5,SB
2.5,1,645,6,SB
1,0,117,2,TS
2.5,1,532,6,SB
3.6,1.2,517,5,SB
0,0,95,2,TS
0.6666666666666666,0,188,3,TS
1.3333333333333333,0.3333333333333333,314,3,SB
1.25,0,401,4,SB
3.5,0.5,167,2,SB
2.6666666666666665,0,252,3,SB
2,0,184,2,SB
0.5,0,138,2,TS
0.5,0,157,2,TS
1,0,121,1,SB
2,0.3333333333333333,330,3,SB
0,0,68,1,TS
0,0,94,2,TS
0.25,0.5,480,4,TS
0,0,140,1,TS
0,0,138,1,TS
0.5,0,419,4,TS
2,0,169,2,TS
1.5,0,190,2,TS
0.5,0,204,2,TS
0.5,0,151,2,TS
1.5,0,146,2,TS
1,0,81,2,TS
0.5,0,110,2,TS
2.5,1.5,129,2,TS
1.5,0,168,2,TS
0,0,295,3,TS
0.5,0,198,2,TS
0.5,0,202,2,TS
0,0,167,2,TS
1.25,0,323,4,TS
1.75,0.25,369,4,TS
1,2,178,2,TS
0.5,0,196,2,TS
1,0,172,2,TS
0.5,0,81,2,TS
0,0,124,2,TS
1,0,231,3,TS
0.5,0,256,2,TS
1.5,0.5,161,2,TS
0.3333333333333333,0,230,3,TS
0.3333333333333333,0,223,3,TS
2.5,0.5,167,2,TS
4.666666666666667,2.6666666666666665,305,3,TS
5.5,3,196,2,TS
0.5,0,153,2,TS
3,1,164,2,TS
0,0,101,3,TS
1,0,156,2,TS
1.6666666666666667,0,316,3,TS
2,0,170,2,TS
0.5,0,70,2,TS
0,0,95,2,TS
0.3333333333333333,0,118,3,TS
0.5,0,87,2,TS
0.5,0,87,2,TS
0,0,130,2,TS
3,0,176,2,TS
2,0,248,3,TS
0,0,103,2,TS
0.5,0,116,2,TS
0.5,0,116,2,TS
1,0,105,2,TS
0.3333333333333333,0,224,3,TS
1.5,0.5,172,2,TS
0.5,0,232,2,TS
0,0,92,1,TS
0.5,0,134,2,TS
1.1666666666666667,0,259,6,TS
4,2,175,2,TS
0.75,0,453,4,SB
0,0,70,1,TS
0.3333333333333333,0,265,3,TS
3,1,195,2,TS
0.5,0,95,2,TS
2,1,252,2,TS
1,0,87,2,TS
1.2222222222222223,0.5555555555555556,1053,9,SB
0.5,0,89,2,TS
0.5,0,432,4,SB
1,0,263,2,SB
1.6666666666666667,0.3333333333333333,341,3,SB
0.2857142857142857,0,557,7,SB
1,0,383,5,SB
0.4,0,318,5,SB
2.5,1.5,156,2,SB
0.6666666666666666,0.16666666666666666,413,6,SB
3,1,173,2,SB
3,1,166,2,SB
0,0,85,2,TS
2,0,247,2,SB
2,0,227,2,SB
0.75,0,325,4,SB
0,0,508,5,SB
3.3333333333333335,1.3333333333333333,311,3,SB
1.5,0.5,271,2,SB
4,0.5,236,2,SB
2,0,194,2,SB
2,0.25,432,4,SB
2,0.25,443,4,SB
0,0.5,80,2,TS
2.6666666666666665,0.6666666666666666,267,3,SB
2.5,0,177,2,SB
1.5714285714285714,0.5714285714285714,872,7,SB
0.75,0.25,404,4,SB
1,0.6,436,5,SB
0.75,0.25,353,4,SB
2,0.3333333333333333,301,3,SB
1.25,0.5,413,4,SB
2.25,0.5,322,4,SB
1.6,0.6,505,5,SB
0.5,0,177,2,TS
1,0.5,136,2,TS
1,0.6666666666666666,310,3,SB
1,0.5,228,2,SB
1,0.3333333333333333,286,3,SB
1.6666666666666667,0.6666666666666666,287,3,SB
3.5,0,252,2,SB
2.6666666666666665,0,350,3,SB
2.5,0,173,2,SB
2,0,225,2,SB
4.5,0,113,2,TS
4.5,0,98,2,TS
1,0,104,2,TS
4.333333333333333,0.3333333333333333,303,3,SB
2.5,0,102,2,TS
2,1,163,2,SB
1,0.5,173,2,SB
1.8,0.8,645,5,SB
3,1.6666666666666667,390,3,SB
2.5,1,418,4,SB
0.6666666666666666,0,122,3,TS
