student_id,course_id,gender,enrollment_reason,enrollment_status,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,passing_grade,gradebook_item,item_position,gradebook_type,gradebook_date,grade_category,status,points_earned,points_attempted,points_possible,last_access_date
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,0.1: Message Your Instructor,9,N,54:46.2,NA,NA,5,0,5,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,0.2: Intro Assignment - Discussion Board,10,N,03:38.0,Hw,NA,5,0,5,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,0.3: Intro Assignment - Submitting Files,11,N,06:53.9,Hw,NA,5,0,5,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,1.1: Quiz,12,N,47:31.2,Qz,NA,10,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,1.2: Quiz,13,N,22:08.2,Qz,NA,10,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,1.3: Create a Living Creature,14,N,54:05.9,Hw,NA,10,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,1.3: Create a Living Creature - Discussion Board,15,N,58:26.7,Hw,NA,9.25,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,1.4: Negative Feedback Loop Flowchart,16,N,12:06.7,Hw,NA,7.75,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,1.5: Quiz,17,N,33:25.6,Qz,NA,9.5,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,Unit 1 Assessment: Pickle Autopsy Lab,18,N,59:44.1,Hw,NA,30,0,30,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,PROGRESS CHECK 1 @ 10-02-15,19,P,NULL,NA,NA,101.5,105,105,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,2.1: Types of Membranes,20,N,29:12.2,Hw,NA,9,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,2.2 - 2.3: Quiz,21,N,58:16.3,Qz,NA,10,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,2.4 - 2.5 Quiz,22,N,01:28.7,Qz,NA,8,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,2.6: Quiz,23,N,57:33.4,Qz,NA,9,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,Unit 2 Assessment: Test,24,N,12:23.4,Qz,NA,28,0,30,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,3.1: Models of the Integumentary System,25,N,00:32.7,Hw,NA,9.5,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,3.2 - 3.3: Quiz,26,N,00:10.5,Qz,NA,10,0,10,33:50:00
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,1,3.4: Skin Twin - Discussion Board,27,N,18:38.3,Hw,NA,10,0,10,33:50:00
