ITEST_id,SY ASSISTments Usage,AveKnow,AveCarelessness,AveCorrect.x,NumActions,AveResBored,AveResEngcon,AveResConf,AveResFrust,AveResOfftask,AveResGaming,timeTaken,correct,original,hint,hintCount,hintTotal,scaffold,bottomHint,attemptCount,problemType,frIsHelpRequest,frPast5HelpRequest,frPast8HelpRequest,stlHintUsed,past8BottomOut,totalFrPercentPastWrong,totalFrPastWrongCount,frPast5WrongCount,frPast8WrongCount,totalFrTimeOnSkill,timeSinceSkill,frWorkingInSchool,totalFrAttempted,totalFrSkillOpportunities,responseIsFillIn,responseIsChosen,endsWithScaffolding,endsWithAutoScaffolding,frTimeTakenOnScaffolding,frTotalSkillOpportunitiesScaffolding,totalFrSkillOpportunitiesByScaffolding,frIsHelpRequestScaffolding,timeGreater5Secprev2wrong,sumRight,helpAccessUnder2Sec,timeGreater10SecAndNextActionRight,consecutiveErrorsInRow,sumTime3SDWhen3RowRight,sumTimePerSkill,totalTimeByPercentCorrectForskill,timeOver80,manywrong,confidence(BORED),confidence(CONCENTRATING),confidence(CONFUSED),confidence(FRUSTRATED),confidence(OFF TASK),confidence(GAMING),RES_BORED,RES_CONCENTRATING,RES_CONFUSED,RES_FRUSTRATED,RES_OFFTASK,RES_GAMING,Ln-1,Ln,SchoolId,MCAS,isSTEM
35,2004-2005,0.2551641,0.158848225,0.379657603,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.236799637,130.0000002,0,1,0,0,0,0,0,1,textfieldquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0000002,0,1,0,0.680981595,0.192131294,0.378151261,0,0.916666667,0.186970488,0.505312886,0.262674671,0.060808049,0,0.88921916,0.005796569,0.271,0.077899242,2,34,0
77,2004-2005,0.191948307,0.094195371,0.413249211,317,0.261455246,0.638636026,0.063971248,0.129858195,0.234331233,0.045096384,13.00000048,0,1,1,1,1,0,0,1,radioquestion,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.00000048,0,0,0,0.597864769,0.234293589,0,0,0.838709677,0.008521819,0.37642746,0.320317373,0,0,0.785585472,0.000264198,0.358,0.152423154,4,39,0
126,2004-2005,0.250838364,0.111159403,0.5,406,0.273188488,0.646944495,0.104601634,0.131631829,0.230005112,0.040233379,159.9999998,0,1,0,0,0,0,0,1,noprobtype,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.9999998,0,1,0,0.680981595,0.192131294,0.378151261,0,0.916666667,0.186970488,0.505312886,0.262674671,0.060808049,0,0.88921916,0.005796569,0.181,0.064493312,2,30,0
205,2004-2005,0.229988259,0.126401241,0.445407279,577,0.242690549,0.658863123,0.11235571,0.132229992,0.185330182,0.077827163,19.99999976,1,1,0,0,0,0,0,1,noprobtype,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.99999976,19.99999976,0,0,0.355694228,0.414318461,0,0.091463415,0.6,0.186970488,0.156026644,0.5664406,0,0.009561398,0.46825197,0.005796569,0.13,0.361306042,2,29,0
283,2004-2005,0.146352073,0.093224036,0.309661437,1211,0.211405366,0.655710893,0.079307519,0.102919704,0.126860415,0.245489485,38,0,1,1,1,1,0,0,1,textfieldquestion,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0.597864769,0.234293589,0,0,0.838709677,0.008521819,0.37642746,0.320317373,0,0,0.785585472,0.000264198,0.185,0.087386956,2,11,0
360,2004-2005,0.150901156,0.089865373,0.327910959,1168,0.221344054,0.658255944,0.101942282,0.112645191,0.137648703,0.173189271,126,0,1,1,1,1,0,0,1,noprobtype,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,0,0.680981595,0.192131294,0,0,0.578947368,0.008521819,0.505312886,0.262674671,0,0,0.440265231,0.000264198,0.253,0.088060356,2,16,0
391,2004-2005,0.116830269,0.06911221,0.29109063,1302,0.199463905,0.664513142,0.084895379,0.133487635,0.113942855,0.34492697,57,0,1,1,1,1,0,0,1,textfieldquestion,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0.597864769,0.234293589,0,0,0.838709677,0.008521819,0.37642746,0.320317373,0,0,0.785585472,0.000264198,0.081,0.057396488,2,11,0
473,2004-2005,0.08263669,0.044333818,0.20441989,724,0.197507964,0.686581079,0.029041796,0.127445198,0.132935205,0.423624681,135.0000002,0,1,0,0,0,0,0,1,radioquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0000002,0,1,0,0.680981595,0.192131294,0.378151261,0,0.916666667,0.186970488,0.505312886,0.262674671,0.060808049,0,0.88921916,0.005796569,0.074,0.044950644,4,12,0
476,2004-2005,0.109228933,0.069040948,0.293759513,1314,0.19551639,0.68763229,0.089650886,0.12416391,0.112046335,0.348984254,35.99999952,0,1,1,1,1,0,0,1,other,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99999952,0,0,0,0.597864769,0.234293589,0,0,0.838709677,0.008521819,0.37642746,0.320317373,0,0,0.785585472,0.000264198,0.031,0.022011226,4,11,0
621,2004-2005,0.133110071,0.074881376,0.317147193,659,0.23021498,0.670286534,0.099246563,0.116013729,0.184888129,0.290471083,76.99999976,0,1,0,0,0,0,0,1,textfieldquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.99999976,0,0,0,0.597864769,0.234293589,0.378151261,0,0.838709677,0.186970488,0.37642746,0.320317373,0.060808049,0,0.785585472,0.005796569,0.212,0.065763861,2,15,0
636,2004-2005,0.297971702,0.169664472,0.438938053,565,0.241800569,0.640110033,0.146503288,0.181725542,0.176985023,0.093635129,91.00000048,0,1,1,1,1,0,0,1,other,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.00000048,0,1,0,0.597864769,0.192131294,0,0,0.838709677,0.008521819,0.37642746,0.262674671,0,0,0.785585472,0.000264198,0.116,0.033305768,2,36,0
676,2004-2005,0.190228621,0.110482946,0.320954907,754,0.20240968,0.671484179,0.068526429,0.115887104,0.120193884,0.304868907,11.99999976,0,1,1,1,1,0,0,1,radioquestion,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.99999976,0,0,0,0.597864769,0.234293589,0,0,0.838709677,0.008521819,0.37642746,0.320317373,0,0,0.785585472,0.000264198,0.271,0.077899242,4,32,0
684,2004-2005,0.124838161,0.059882402,0.25594564,883,0.199612449,0.64029796,0.041017035,0.177366914,0.126429499,0.411619009,189.0000002,0,1,1,1,1,0,0,1,radioquestion,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0000002,0,1,0,0.680981595,0.192131294,0,0,0.916666667,0.008521819,0.505312886,0.262674671,0,0,0.88921916,0.000264198,0.271,0.077899242,4,17,0
808,2004-2005,0.343990855,0.209695695,0.483568075,852,0.228066808,0.665455464,0.142619785,0.148875241,0.16289193,0.064983433,181.0000002,1,1,0,0,0,0,0,1,radioquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,181.0000002,181.0000002,1,0,0.680981595,0.260488133,0,0.091463415,0.916666667,0.186970488,0.505312886,0.356129567,0,0.009561398,0.88921916,0.005796569,0.271,0.54175551,2,39,0
826,2004-2005,0.214899781,0.136739483,0.385779123,661,0.251739946,0.646650791,0.104086652,0.201503902,0.178139475,0.072044808,54,1,1,0,0,0,0,0,1,textfieldquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,54,0,0,0.355694228,0.414318461,0,0.091463415,0.833333333,0.186970488,0.156026644,0.5664406,0,0.009561398,0.778438321,0.005796569,0.031,0.131646093,2,22,0
828,2004-2005,0.110542184,0.075705446,0.289261745,1490,0.200605855,0.686994739,0.103558891,0.166431771,0.115070713,0.278564845,25.99999976,0,1,0,0,1,0,0,1,textfieldquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.99999976,0,0,0,0.597864769,0.234293589,0.378151261,0,0.838709677,0.186970488,0.37642746,0.320317373,0.060808049,0,0.785585472,0.005796569,0.17,0.055464977,2,19,0
832,2004-2005,0.164541237,0.096086109,0.31596829,1766,0.207023279,0.680437788,0.06845693,0.130189523,0.121759236,0.319915868,27,0,1,0,0,0,0,0,1,radioquestion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.597864769,0.234293589,0.378151261,0,0.838709677,0.186970488,0.37642746,0.320317373,0.060808049,0,0.785585472,0.005796569,0.253,0.088060356,2,27,0
