course_ID,student_ID,Gradebook_Item,Item_Position,Gradebook_Type,Gradebook_Date,Grade_Category,Status,Points_Earned,Points_Attempted,Points_Possible,last_access_date
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,3,T,NULL,NA,NA,578.33,0,625,33:50:00
AnPhA-S116-01,60186,WORK ATTEMPTED,7,T,NULL,NA,NA,578.33,625,625,33:50:00
AnPhA-S116-01,60186,0.1: Message Your Instructor,9,N,54:46.2,NA,NA,5,0,5,33:50:00
AnPhA-S116-01,60186,0.2: Intro Assignment - Discussion Board,10,N,03:38.0,Hw,NA,5,0,5,33:50:00
AnPhA-S116-01,60186,0.3: Intro Assignment - Submitting Files,11,N,06:53.9,Hw,NA,5,0,5,33:50:00
AnPhA-S116-01,60186,1.1: Quiz,12,N,47:31.2,Qz,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,1.2: Quiz,13,N,22:08.2,Qz,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,1.3: Create a Living Creature,14,N,54:05.9,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,1.3: Create a Living Creature - Discussion Board,15,N,58:26.7,Hw,NA,9.25,0,10,33:50:00
AnPhA-S116-01,60186,1.4: Negative Feedback Loop Flowchart,16,N,12:06.7,Hw,NA,7.75,0,10,33:50:00
AnPhA-S116-01,60186,1.5: Quiz,17,N,33:25.6,Qz,NA,9.5,0,10,33:50:00
AnPhA-S116-01,60186,Unit 1 Assessment: Pickle Autopsy Lab,18,N,59:44.1,Hw,NA,30,0,30,33:50:00
AnPhA-S116-01,60186,PROGRESS CHECK 1 @ 10-02-15,19,P,NULL,NA,NA,101.5,105,105,33:50:00
AnPhA-S116-01,60186,2.1: Types of Membranes,20,N,29:12.2,Hw,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,2.2 - 2.3: Quiz,21,N,58:16.3,Qz,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,2.4 - 2.5 Quiz,22,N,01:28.7,Qz,NA,8,0,10,33:50:00
AnPhA-S116-01,60186,2.6: Quiz,23,N,57:33.4,Qz,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,Unit 2 Assessment: Test,24,N,12:23.4,Qz,NA,28,0,30,33:50:00
AnPhA-S116-01,60186,3.1: Models of the Integumentary System,25,N,00:32.7,Hw,NA,9.5,0,10,33:50:00
AnPhA-S116-01,60186,3.2 - 3.3: Quiz,26,N,00:10.5,Qz,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,3.4: Skin Twin - Discussion Board,27,N,18:38.3,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,Unit 3 Assessment: UV Exposure Lab,28,N,31:01.6,Hw,NA,30,0,30,33:50:00
AnPhA-S116-01,60186,PROGRESS CHECK 2 @ 10-28-15,29,P,NULL,NA,NA,225,235,235,33:50:00
AnPhA-S116-01,60186,4.2: Balloon Skull Lab,30,N,00:55.4,Hw,NA,9.13,0,10,33:50:00
AnPhA-S116-01,60186,4.1 - 4.3: Quiz,31,N,36:12.7,Qz,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,4.4: Quiz,32,N,07:06.0,Qz,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,4.5: Muscle Movements in our Daily Life,33,N,52:29.9,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,4.6: Soda and Osteoporosis Research Writing,34,N,34:30.4,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,Unit 4 Assessment: Test,35,N,06:19.9,Qz,NA,28,0,30,33:50:00
AnPhA-S116-01,60186,5.1: Quiz,36,N,52:33.5,Qz,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,5.4: Muscle Tissue Types Chart,37,N,14:15.5,Hw,NA,9.32,0,10,33:50:00
AnPhA-S116-01,60186,5.2 - 5.4: Quiz,38,N,12:01.9,Qz,NA,8,0,10,33:50:00
AnPhA-S116-01,60186,PROGRESS CHECK 3 @ 11-20-15,39,P,NULL,NA,NA,327.45,345,345,33:50:00
AnPhA-S116-01,60186,5.5: Naming Skeletal Muscle - Discussion Board,40,N,42:35.3,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,5.6: Quiz,41,N,29:25.5,Qz,NA,8,0,10,33:50:00
AnPhA-S116-01,60186,Unit 5 Assessment: Fitness Class Poster,42,N,19:45.9,Hw,NA,30,0,30,33:50:00
AnPhA-S116-01,60186,6.1: Quiz,43,N,47:51.4,Qz,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,6.2: Helmet Law - Discussion Board,44,N,45:16.1,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,6.3 - 6.4: Quiz,45,N,30:53.9,Qz,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,6.5: Diagramming the Nervous System,46,N,16:15.9,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,Unit 6 Assessment: Test,47,N,46:23.3,Qz,NA,28,0,30,33:50:00
AnPhA-S116-01,60186,PROGRESS CHECK 4 @ 12-18-15,48,P,NULL,NA,NA,442.45,465,465,33:50:00
AnPhA-S116-01,60186,7.1: Quiz,49,N,36:29.9,Qz,NA,8,0,10,33:50:00
AnPhA-S116-01,60186,7.2: Virtual Eye Dissection,50,N,06:54.9,Hw,NA,10,0,10,33:50:00
AnPhA-S116-01,60186,7.3: Anatomy and Physiology of Hearing Flow Chart,51,N,22:06.4,Hw,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,7.4: Quiz,52,N,07:08.8,Qz,NA,9,0,10,33:50:00
AnPhA-S116-01,60186,Unit 7 Assessment: Create Your Own Senses Experiment,53,N,23:23.1,Hw,NA,24.75,0,30,33:50:00
