student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,86.272,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,9,939,0.9602941176470589,0.06739731197027603,11
66693,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,93.7536,AnPhA,S116,01,5,5,5,5,6,311,0.9764705882352941,0.05783622774495308,16
66811,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,91.2016,AnPhA,S116,01,4,4,NA,4,9,474,0.9452352941176471,0.11668716959629621,12
70532,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,93.64,AnPhA,S116,01,4.6,4.666666666666667,4,4.571428571428571,11,578,0.9485294117647058,0.07986169551512279,15
77010,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,73.1706672,AnPhA,S116,01,NA,3.6666666666666665,3.5,3.857142857142857,9,496,0.7375,0.3145606266440001,13
85249,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,86.8912,AnPhA,S116,01,4,4,4.5,4,9,284,0.9566176470588236,0.06255380188164768,12
85411,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,90.9157328,AnPhA,S116,01,4.4,4,3.5,4.142857142857143,12,452,0.9470588235294117,0.08340276377251046,12
85583,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,91.6549328,AnPhA,S116,01,5,5,3.5,5,8,382,0.9441176470588235,0.16274036177017367,12
85866,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,75.1296,AnPhA,S116,01,5,4.666666666666667,4,4.857142857142857,7,138,0.8108823529411764,0.16386977603218153,5
85970,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,81.6224,AnPhA,S116,01,4.2,4,3.5,4.142857142857143,9,239,0.9470588235294117,0.08018048901518032,13
86072,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,91.2928,AnPhA,S116,01,4.8,4.666666666666667,3.5,4.714285714285714,9,368,0.9904411764705883,0.0319075556140416,16
86119,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,71.7376,AnPhA,S116,01,4,4.666666666666667,4.5,4.571428571428571,9,301,0.7360882352941177,0.14379454560249924,8
86267,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,35.0608,AnPhA,S116,01,5,5,4.5,5,NA,NA,0.45994117647058824,0.3299473363823785,3
86275,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,95.0208,AnPhA,S116,01,4.4,4,3,4.285714285714286,12,454,0.9397058823529412,0.08043649196581164,13
86277,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,89.8133328,AnPhA,S116,01,4.2,4,4,4,9,363,0.9674999999999999,0.05656408413503295,12
86286,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,96.8144,AnPhA,S116,01,4.2,3.6666666666666665,2.5,4,10,372,0.9882352941176471,0.033921370646859815,17
86294,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,83.4938672,AnPhA,S116,01,4,4.333333333333333,3.5,4.142857142857143,10,279,0.9037058823529411,0.11551983339301015,8
86432,AnPhA-S116-01,M,Scheduling Conflict,Approved/Enrolled,68.6629328,AnPhA,S116,01,3.8,4,3,3.857142857142857,14,211,0.8513235294117647,0.1856180603483545,10
86446,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,85.6208,AnPhA,S116,01,4,3.6666666666666665,3,3.857142857142857,9,334,0.9338235294117647,0.09135113157353925,10
86451,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,93.7024,AnPhA,S116,01,4.4,4.333333333333333,4,4.285714285714286,12,534,0.975,0.04060131037424163,12
86479,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,92.6074672,AnPhA,S116,01,5,5,NA,5,9,255,0.9257647058823529,0.08364616894363644,11
86484,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,80.0656,AnPhA,S116,01,4.2,4.666666666666667,4.5,4.428571428571429,11,472,0.8956176470588235,0.16380884862817663,8
86488,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,87.4408,AnPhA,S116,01,4.2,3.6666666666666665,4,3.857142857142857,12,460,0.9389705882352941,0.10329459065905806,10
86492,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,25.5928,AnPhA,S116,01,4,4,3.5,4,2,41,0.6717941176470588,0.22107674190241086,4
86504,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,75.5392,AnPhA,S116,01,1.8,2.3333333333333335,2.5,2.142857142857143,13,378,0.7750882352941177,0.17494788797068161,3
86588,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,19.84,AnPhA,S116,01,5,4.666666666666667,5,4.857142857142857,6,243,0.4764705882352941,0.18374284299182395,4
86608,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,79.8506672,AnPhA,S116,01,4,4,3.5,4,10,284,0.8026470588235294,0.14725980321174564,5
87043,AnPhA-S116-01,F,Other,Approved/Enrolled,91.312,AnPhA,S116,01,5,4.666666666666667,4.5,4.857142857142857,10,849,0.9338235294117647,0.04428265994982875,16
87166,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,77.3104,AnPhA,S116,01,4.6,4.333333333333333,4.5,4.428571428571429,7,281,0.862735294117647,0.1412059370800912,6
88050,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,71.6757328,AnPhA,S116,01,4.2,4.333333333333333,4,4.142857142857143,3,64,0.7477941176470588,0.14244541053223297,6
88068,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,70.6074672,AnPhA,S116,01,4.6,4.666666666666667,4.5,4.571428571428571,11,618,0.7397058823529412,0.11983972395908733,6
88099,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,81.9629328,AnPhA,S116,01,3.8,4,3,3.857142857142857,11,219,0.9110294117647059,0.1046041252834504,10
88153,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,88.7024,AnPhA,S116,01,3.2,3.3333333333333335,2.5,3.142857142857143,6,277,0.9775882352941176,0.02833764799396401,15
88641,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,87.1808,AnPhA,S116,01,3.6,4,3.5,3.7142857142857144,15,599,0.8838235294117647,0.13647237501749732,11
89142,AnPhA-S116-01,F,Other,Approved/Enrolled,95.104,AnPhA,S116,01,5,4.333333333333333,3.5,4.714285714285714,13,552,0.9852941176470589,0.03302398525105347,16
89194,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,83.2053328,AnPhA,S116,01,3.6,3.3333333333333335,3.5,3.4285714285714284,7,108,0.888264705882353,0.1405034479098907,5
