mean_favorite_count,sum_favorite_count,mean_retweet_count,sum_retweet_count,mean_display_text_width,sum_display_text_width,n,code
1,2,0,0,107,214,2,TS
0,0,0,0,38,76,2,TS
0.125,2,0,0,105.5625,1689,16,SB
0.5,1,0,0,108.5,217,2,TS
0.5,1,0,0,71.5,143,2,TS
0.6666666666666666,2,0.3333333333333333,1,125.33333333333333,376,3,TS
2,4,0,0,57.5,115,2,TS
1.5,6,0,0,74.5,298,4,TS
3,6,0,0,116.5,233,2,TS
0.5,1,0,0,49,98,2,TS
0.3333333333333333,1,0,0,66,198,3,TS
1.5,3,0,0,61.5,123,2,TS
0,0,0,0,65.66666666666667,197,3,TS
0.07142857142857142,1,0,0,103.5,1449,14,SB
1,3,0.3333333333333333,1,97,291,3,TS
0.5,1,0,0,58.5,117,2,TS
0.3333333333333333,1,0,0,78,234,3,TS
0.75,3,0,0,66.25,265,4,TS
1.5,3,0,0,99,198,2,TS
0,0,0,0,47,94,2,TS
0.5,2,0,0,94.75,379,4,TS
2,4,0,0,87.5,175,2,TS
2.3333333333333335,7,0,0,112.66666666666667,338,3,TS
0.5,1,0,0,68,136,2,TS
0.14285714285714285,2,0,0,108.92857142857143,1525,14,SB
0,0,0,0,69,69,1,TS
2,4,0,0,96.5,193,2,TS
0,0,0,0,94.5,189,2,TS
0.5,2,0.75,3,97.5,390,4,SB
0.6666666666666666,2,0.6666666666666666,2,122,366,3,SB
0.6666666666666666,2,0.6666666666666666,2,122.66666666666667,368,3,SB
1,6,0.3333333333333333,2,116,696,6,SB
0.3333333333333333,1,0,0,87.66666666666667,263,3,SB
2,6,0,0,117,351,3,SB
1,2,0,0,131,262,2,SB
0.23076923076923078,3,0,0,107.61538461538461,1399,13,SB
0.5,1,0.5,1,100.5,201,2,SB
1,2,1,2,125.5,251,2,SB
1.5,3,0,0,102,204,2,SB
0.25,1,0,0,106.75,427,4,SB
0.5,2,0,0,103.25,413,4,SB
0.75,3,0.75,3,115.25,461,4,SB
0.5,2,0.25,1,105.5,422,4,SB
1.4285714285714286,10,0.7142857142857143,5,112.57142857142857,788,7,SB
1,6,0.6666666666666666,4,117.33333333333333,704,6,SB
1,5,0.8,4,112.6,563,5,SB
0.1,1,0,0,102.3,1023,10,SB
1.6,8,1,5,103,515,5,SB
2.5,10,1.5,6,122.75,491,4,SB
1.75,7,1,4,91.25,365,4,SB
2.5,10,1,4,97,388,4,SB
1.75,7,1,4,97.5,390,4,SB
1.25,5,1.25,5,86.5,346,4,SB
1.5,3,0,0,109.5,219,2,SB
1,2,0,0,90.5,181,2,SB
4,8,0.5,1,88.5,177,2,SB
0.5,1,0,0,117,234,2,SB
0.125,1,0,0,102.5,820,8,SB
0,0,0,0,116.5,233,2,SB
0,0,1.5,3,135.5,271,2,SB
0.5,1,0,0,51.5,103,2,TS
3.5,7,0,0,111.5,223,2,SB
2.5,5,1,2,136,272,2,SB
1.4,7,0.4,2,109.2,546,5,SB
1,5,0.4,2,124.6,623,5,SB
1,5,0.4,2,74.2,371,5,SB
2,6,0.6666666666666666,2,82.66666666666667,248,3,SB
0.6666666666666666,2,0.3333333333333333,1,116,348,3,SB
0,0,0,0,62.5,125,2,TS
1.5,3,0,0,51,102,2,TS
0,0,0,0,44,44,1,SB
0.5,1,1,2,139.5,279,2,SB
1.5,6,0,0,124.5,498,4,SB
1,3,0.3333333333333333,1,136.33333333333334,409,3,SB
1,2,0.5,1,140.5,281,2,SB
0.2,2,0.2,2,101.1,1011,10,SB
0.08333333333333333,1,0.08333333333333333,1,102.08333333333333,1225,12,SB
0.07692307692307693,1,0.07692307692307693,1,105.23076923076923,1368,13,SB
0.08333333333333333,1,0.08333333333333333,1,105.33333333333333,1264,12,SB
0.5,1,0.5,1,104,208,2,TS
0,0,0.1111111111111111,1,97.44444444444444,877,9,SB
0,0,0,0,94.11111111111111,847,9,SB
0,0,0,0,97.44444444444444,877,9,SB
0,0,0,0,92.875,743,8,SB
3,6,0,0,109,218,2,SB
1,2,0,0,135,270,2,SB
