mean_favorite_count,mean_retweet_count,mean_status_count,mean_followers_count,mean_friends_count,sum_display_text_width,n,code
1,0,18038.5,4896,4459.5,214,2,TS
0,0,13792,4348,3977.5,76,2,TS
0.125,0,32364.1875,3177.75,2265.6875,1689,16,SB
0.5,0,1663,490.5,667,217,2,TS
0.5,0,14325,4398,4095.5,143,2,TS
0.6666666666666666,0.3333333333333333,439333,18498.333333333332,9862.666666666666,376,3,TS
2,0,40443.5,7830,6395.5,115,2,TS
1.5,0,34536.5,5358.5,586.5,298,4,TS
3,0,16549.5,6933.5,4041.5,233,2,TS
0.5,0,15376,4928.5,4033.5,98,2,TS
0.3333333333333333,0,12157.666666666666,3213,3060,198,3,TS
1.5,0,16898,4580,4386.5,123,2,TS
0,0,23812,2401.6666666666665,1303,197,3,TS
0.07142857142857142,0,36789.92857142857,3379.4285714285716,1990.5,1449,14,SB
1,0.3333333333333333,27728.666666666668,4412.333333333333,2348.3333333333335,291,3,TS
0.5,0,18038.5,4896,4459.5,117,2,TS
0.3333333333333333,0,27448,3372.3333333333335,2763.6666666666665,234,3,TS
0.75,0,14554,4910.5,4411,265,4,TS
1.5,0,15195.5,4632,4179.5,198,2,TS
0,0,9330.5,10694,2815,94,2,TS
0.5,0,40434.5,12820.5,2774,379,4,TS
2,0,22447.5,14395.5,6229,175,2,TS
2.3333333333333335,0,14558,3662.6666666666665,3876.3333333333335,338,3,TS
0.5,0,63114,5241,663,136,2,TS
0.14285714285714285,0,36789.92857142857,3379.4285714285716,1990.5,1525,14,SB
0,0,27140,8391,7573,69,1,TS
2,0,1543,389.5,502,193,2,TS
0,0,8474.5,2617.5,3245.5,189,2,TS
0.5,0.75,32895.5,2860,535,390,4,SB
0.6666666666666666,0.6666666666666666,30977,4703.666666666667,2881,366,3,SB
0.6666666666666666,0.6666666666666666,25605.666666666668,3124,1973,368,3,SB
1,0.3333333333333333,20684.333333333332,3783,3007.8333333333335,696,6,SB
0.3333333333333333,0,25797,3255.3333333333335,2099.3333333333335,263,3,SB
2,0,13047.333333333334,4120.666666666667,4296,351,3,SB
1,0,19084.5,5554.5,4656.5,262,2,SB
0.23076923076923078,0,36445.153846153844,3258.230769230769,2388.769230769231,1399,13,SB
0.5,0.5,24492.5,7916,6748,201,2,SB
1,1,14554,4910.5,4411,251,2,SB
1.5,0,40443.5,7830,6395.5,204,2,SB
0.25,0,6001,1985.5,2657.5,427,4,SB
0.5,0,4908.5,1264.75,1745.25,413,4,SB
0.75,0.75,34536.5,5358.5,586.5,461,4,SB
0.5,0.25,46483.5,5806.75,1763.5,422,4,SB
1.4285714285714286,0.7142857142857143,117441.42857142857,11316.714285714286,3728.8571428571427,788,7,SB
1,0.6666666666666666,147606.83333333334,11783.5,4488.333333333333,704,6,SB
1,0.8,164505.4,13092,5253.4,563,5,SB
0.1,0,41045.4,3607.2,1974.1,1023,10,SB
1.6,1,35326.2,7643.6,2598.2,515,5,SB
2.5,1.5,18061.25,9027.75,5174.25,491,4,SB
1.75,1,25073.5,11707.5,2831.25,365,4,SB
2.5,1,40434.5,12820.5,2774,388,4,SB
1.75,1,24014,7568.75,3005,390,4,SB
1.25,1.25,25696.25,11755.75,3014,346,4,SB
1.5,0,14074,4547,4422,219,2,SB
1,0,33857.5,3231,992.5,181,2,SB
4,0.5,13035.5,4072,2914,177,2,SB
0.5,0,359906.5,16189,7398,234,2,SB
0.125,0,35819.125,2896.625,1475.25,820,8,SB
0,0,341919.5,17764,10853,233,2,SB
0,1.5,14908.5,4435,3990,271,2,SB
0.5,0,15870.5,4806,4447.5,103,2,TS
3.5,0,24492.5,7916,6748,223,2,SB
2.5,1,4605,3174.5,648,272,2,SB
1.4,0.4,8264.6,2863.6,2521.6,546,5,SB
1,0.4,9324.2,2866.8,2229.8,623,5,SB
1,0.4,28821,5382,571.2,371,5,SB
2,0.6666666666666666,4628.666666666667,4127.333333333333,756.3333333333334,248,3,SB
0.6666666666666666,0.3333333333333333,22248.666666666668,2131,698.3333333333334,348,3,SB
0,0,21732,6029.5,5481.5,125,2,TS
1.5,0,34536.5,5358.5,586.5,102,2,TS
0,0,5959,5476,510,44,1,SB
0.5,1,32895.5,2860,535,279,2,SB
1.5,0,43508,4441.5,952,498,4,SB
1,0.3333333333333333,18851,1921.3333333333333,1310.6666666666667,409,3,SB
1,0.5,37465.5,5976,4280,281,2,SB
0.2,0.2,152120,7450.1,3746.3,1011,10,SB
0.08333333333333333,0.08333333333333333,127069.33333333333,6304.416666666667,3241.25,1225,12,SB
0.07692307692307693,0.07692307692307693,122330.07692307692,6253.846153846154,3112.6923076923076,1368,13,SB
0.08333333333333333,0.08333333333333333,132177.5,6693.166666666667,3236.8333333333335,1264,12,SB
0.5,0.5,18640.5,36059.5,1503,208,2,TS
0,0.1111111111111111,168820.44444444444,8213.888888888889,4083,877,9,SB
0,0,307278.55555555556,13552.888888888889,6969.666666666667,847,9,SB
0,0,307278.55555555556,13552.888888888889,6969.666666666667,877,9,SB
0,0,345168.25,15124.25,7638,743,8,SB
3,0,34885,3005,931.5,218,2,SB
1,0,16247,4724,4153.5,270,2,SB
0,0,11026,3652,4849,228,2,TS
0.75,0,32748.5,3082,421,306,4,SB
0.3333333333333333,0.3333333333333333,27848.666666666668,8706.666666666666,1985,299,3,SB
1.5,0,9747,4476,2438,238,2,SB
0.5,0.5,15633.5,4609,4799,140,2,TS
1,0.5,4015.5,768,570.5,235,2,SB
0.6,0,19636.6,5931.8,4909.8,661,5,SB
0.4,0,19636.6,5931.8,4909.8,677,5,SB
1.25,0.5,3447.5,2905.25,480.75,465,4,SB
0.5,0,1826.5,399,436.5,200,2,SB
1,0.6666666666666666,4096.333333333333,2284,570,329,3,SB
0,0,1396,447.5,591,136,2,SB
0,0.5,31638.5,2759,528.5,183,2,SB
2,1.5,44000.5,8332.5,7497,230,2,SB
1.5,0,32623,2971.5,521,147,2,SB
1,0,4256,1180.5,1555.5,222,2,TS
0,0.5,3743,879.5,556.5,270,2,SB
0.2,0,3933.8,3425.6,480.8,527,5,SB
2,0.5,6497,2541,3049,279,2,SB
2,0.5,3661,1243.5,991.5,256,2,SB
0.3333333333333333,0,16885,5540.333333333333,4796,273,3,SB
1.75,0,29763.25,6925.75,6303.25,497,4,SB
0.5,0,37070,4446.5,2756,192,2,SB
2,0,14940.666666666666,4270.666666666667,4540.666666666667,337,3,SB
0,0,32895.5,2860,535,230,2,SB
2,0,6163,1833.6666666666667,1649.3333333333333,343,3,SB
0,0,31779,2773,522.5,83,2,TS
0.5,0,10672.875,3617.75,3069.875,956,8,SB
2,0,11214,3379,3048.3333333333335,257,3,SB
0,0,24607.333333333332,2451.6666666666665,710.3333333333334,212,3,SB
1.5,0.5,32061,2972,967,251,2,SB
1.5,0.5,359906.5,16189,7398,251,2,SB
1.5,0.5,1432,890,843,262,2,SB
0,0.5,14908.5,4435,3990,273,2,SB
1.5,0.5,34885,3005,931.5,202,2,SB
3.5,1,15796,5958.5,4180.5,263,2,SB
0,0.3333333333333333,28388.666666666668,4181.666666666667,3453.6666666666665,294,3,SB
1,0,15223.75,5626.25,3974.25,476,4,SB
0.5,0,7593.5,2317,3236,149,2,TS
0,0,16435.5,5546.5,5386,223,2,SB
0,0,1791.5,733.5,576,135,2,SB
1.5,0.5,32045,2780,564.5,154,2,TS
1,0,34536.5,5358.5,586.5,115,2,TS
0.25,0,14743,2423.5,2001,287,4,TS
3,2.5,16092,4560.5,4133.5,225,2,TS
