student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent,subject,semester,section,int,uv,percomp,percentage_earned,sum_discussion_posts,sum_n_words
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,86.272,2087.0501,AnPhA,S116,01,4.2,4.333333333333333,4.5,0.9602941176470589,9,939
66693,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,93.7536,2309.0334,AnPhA,S116,01,5,5,5,0.9764705882352941,6,311
66811,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,91.2016,5298.8507,AnPhA,S116,01,4,4,NA,0.9452352941176471,9,474
70532,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,93.64,2938.4666,AnPhA,S116,01,4.6,4.666666666666667,4,0.9485294117647058,11,578
77010,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,73.1706672,1533.0996,AnPhA,S116,01,NA,3.6666666666666665,3.5,0.7375,9,496
85249,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,86.8912,1209.8496,AnPhA,S116,01,4,4,4.5,0.9566176470588236,9,284
85411,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,90.9157328,473.0333,AnPhA,S116,01,4.4,4,3.5,0.9470588235294117,12,452
85583,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,91.6549328,5532.4164,AnPhA,S116,01,5,5,3.5,0.9441176470588235,8,382
85866,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,75.1296,3050.0831,AnPhA,S116,01,5,4.666666666666667,4,0.8108823529411764,7,138
85970,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,81.6224,610.8334,AnPhA,S116,01,4.2,4,3.5,0.9470588235294117,9,239
86072,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,91.2928,608.1834,AnPhA,S116,01,4.8,4.666666666666667,3.5,0.9904411764705883,9,368
86119,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,71.7376,2127.0664,AnPhA,S116,01,4,4.666666666666667,4.5,0.7360882352941177,9,301
86267,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,35.0608,406.0001,AnPhA,S116,01,5,5,4.5,0.45994117647058824,NA,NA
86275,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,95.0208,7067.1498,AnPhA,S116,01,4.4,4,3,0.9397058823529412,12,454
86277,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,89.8133328,3856.8672,AnPhA,S116,01,4.2,4,4,0.9674999999999999,9,363
86286,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,96.8144,4140.4495,AnPhA,S116,01,4.2,3.6666666666666665,2.5,0.9882352941176471,10,372
86294,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,83.4938672,4239.5495,AnPhA,S116,01,4,4.333333333333333,3.5,0.9037058823529411,10,279
86432,AnPhA-S116-01,M,Scheduling Conflict,Approved/Enrolled,68.6629328,3715.9002,AnPhA,S116,01,3.8,4,3,0.8513235294117647,14,211
86446,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,85.6208,2527.6997,AnPhA,S116,01,4,3.6666666666666665,3,0.9338235294117647,9,334
86451,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,93.7024,4176.8337,AnPhA,S116,01,4.4,4.333333333333333,4,0.975,12,534
86479,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,92.6074672,2712.234,AnPhA,S116,01,5,5,NA,0.9257647058823529,9,255
